lng,lat
44.32058116,-113.7223313
34.97143471,-74.0866392
36.77479507,-121.3542853
33.55339625,-116.6780979
26.49557571,-101.2382824
27.79630386,-95.94539104
33.22259074,-96.22501862
29.93402803,-105.2923582
35.52078399,-105.1135851
37.15485009,-108.5097141
46.26103706,-86.2066216
31.66800741,-89.9518513
47.48081328,-76.9930145
27.28298282,-111.9651397
27.59512596,-94.75112471
41.27254058,-124.0323424
47.38064849,-107.1665497
34.64333145,-74.93468572
39.72103821,-73.15095279
41.10397751,-99.64450736
32.16873048,-83.77026182
38.01407147,-76.82831627
46.15928511,-92.88115523
36.13776915,-105.0392617
30.37183119,-91.93011445
32.3286082,-78.76516982
40.73758616,-119.0934003
34.85301851,-73.56758607
47.062946,-111.7131247
45.88245078,-100.8245193
28.87989477,-86.1876788
30.37109695,-112.1724223
36.02810289,-111.4098116
40.31504865,-118.4457628
26.35217347,-100.1773148
32.77059738,-123.3139895
27.07102492,-91.10043385
32.48950195,-90.42755874
27.46093519,-80.82326593
27.59227201,-89.4437653
28.55331865,-85.74387405
36.28930333,-86.35647145
43.93587653,-73.46409421
38.02139564,-75.46401935
34.66300124,-123.1441287
40.47283812,-106.8779484
27.96925769,-84.0641346
29.53342817,-98.2204488
41.27009155,-73.59894958
30.081572,-114.8442389
28.32400174,-103.0827968
45.76463639,-107.7407857
39.31718059,-75.13999858
34.22538741,-117.9257768
42.45783187,-103.8425655
43.5832847,-96.93962039
35.99312968,-88.20845669
29.26842568,-117.5708026
27.6925051,-102.017987
42.64531653,-107.8025773
38.92483423,-108.3358544
46.27129119,-82.34597115
46.21130338,-90.2930952
35.40201584,-115.2905228
32.57169757,-113.049463
46.52499956,-88.7327645
26.93765791,-89.24252831
31.39315497,-95.13325052
41.46818969,-124.0899648
37.67624711,-122.3649385
26.23345893,-82.66619813
47.11646781,-74.1933591
45.83796795,-123.0819172
43.82771081,-109.6034441
44.29754073,-105.7426245
45.03128064,-83.73039447
27.7470828,-109.6007364
31.34160408,-74.52789712
40.01272769,-93.54891318
47.72394618,-98.00447481
36.21086879,-79.22918898
35.28416778,-123.2103095
33.71328581,-87.4172715
32.7772935,-76.55377751
32.11183438,-116.0724641
31.79647687,-112.9876303
45.74651866,-79.1395013
44.31395931,-84.08714599
46.57090215,-95.46601856
